event_time,event_type,product_id,category_id,category_code,brand,price,user_id,user_session
2019-11-23 12:11:06 UTC,view,1801690,2053013554415534427,electronics.video.tv,samsung,406.05,573554817,08a28fb0-ca22-498e-b4a7-cb72b624fa57
2019-11-13 04:59:07 UTC,view,26403265,2053013563651392361,,,326.13,514164869,45759925-e9a4-9980-387f-444c98c3ac1b
2019-11-30 09:58:12 UTC,cart,1004870,2053013555631882655,electronics.smartphone,samsung,284.95,536564829,d5660a56-ae30-4154-b50a-9fdac31049c6
2019-11-18 18:23:04 UTC,view,26400189,2053013563651392361,,,144.66,534821312,eec4b0b1-49d8-4500-a85e-1bddaa4594a6
2019-11-22 13:58:34 UTC,view,100014292,2053013555631882655,electronics.smartphone,nokia,231.38,557080193,cbb73efb-5983-4afe-a215-ae1c52b50c36
2019-11-17 04:32:32 UTC,view,2501029,2053013564003713919,appliances.kitchen.oven,gefest,221.19,516058712,ba68725a-4896-4058-8578-7f3e5f422e03
2019-11-06 07:19:10 UTC,view,4804572,2053013554658804075,electronics.audio.headphone,apple,208.5,546598717,89422385-5d31-4d35-8407-1f8d105b1d16
2019-11-17 07:37:31 UTC,view,100008490,2053013565639492569,apparel.shoes,respect,95.24,572217263,e10e0b9c-4589-4ee2-b662-4191022d1438
2019-11-09 08:26:05 UTC,view,11500165,2053013554625249641,,x-game,6.59,513673343,da6babed-2980-422c-b2e1-fcf04ac37df9
2019-11-28 11:45:00 UTC,view,1004873,2053013555631882655,electronics.smartphone,samsung,348.66,578179215,5f4759af-15e1-49dc-a46d-5a871de4cef7
2019-11-16 16:41:50 UTC,view,14700116,2053013557133443581,furniture.living_room.cabinet,,555.97,542729789,994006be-8e19-4e73-8b41-3065c51cfc6d
2019-11-25 02:28:33 UTC,view,26006035,2053013562778977083,,,6.56,527063918,421660a6-3bcc-4cb0-9c5f-aecf15635ead
2019-11-18 06:06:30 UTC,view,12716707,2053013553559896355,,kapsen,54.57,512795759,99c89f47-48db-4e17-9076-38a18ecad351
2019-11-04 03:41:06 UTC,view,1003306,2053013555631882655,electronics.smartphone,apple,575.03,523630503,01744c94-d553-4394-9583-07f337e5d63e
2019-11-15 04:04:39 UTC,view,4000137,2053013566142809077,construction.tools.generator,philips,115.81,516390614,53cac375-6a26-4d0f-a973-a96ca0304c49
2019-11-16 14:01:50 UTC,view,1005228,2053013555631882655,electronics.smartphone,honor,283.12,543491313,32b2d2cd-5031-426f-ade8-567ce27d88b9
2019-11-09 11:55:50 UTC,view,10900115,2053013555069845885,appliances.kitchen.mixer,vitek,38.59,514353441,10d50f69-81af-47c1-ac3a-17461bdba629
2019-11-03 07:19:27 UTC,view,15100309,2053013557024391671,,,385.85,562583234,4ce9b885-5ce4-4379-83f6-e7bd03cc5e1c
2019-11-16 20:47:56 UTC,view,32401604,2053013566562238479,,,18.02,566875123,29a773e4-8e58-4799-a85e-2efba25b83cd
2019-11-15 17:47:09 UTC,view,2800630,2053013563835941749,appliances.kitchen.refrigerators,,204.36,565955114,e6571d89-ba4d-43f9-baea-14b369d38b72
2019-11-07 14:32:46 UTC,view,1801805,2053013554415534427,electronics.video.tv,artel,242.45,565691915,60b61784-1f9b-42ae-adb4-57fad8844b4c
2019-11-25 13:20:26 UTC,view,19700086,2053013559104766575,,,43.32,576509701,eea5c790-7950-47b5-bb1b-0f1dd8f0a7c0
2019-11-17 15:19:35 UTC,view,5100563,2053013553341792533,electronics.clocks,samsung,264.87,518001452,53fc39bd-26e5-4c5a-951c-8b092674073e
2019-11-16 10:16:18 UTC,view,5301667,2053013563173241677,,rowenta,38.84,559037976,1e8930ce-d2aa-447d-babb-985407fefdd4
2019-11-23 13:24:52 UTC,view,2601500,2053013563970159485,,artel,119.95,565714682,64dfa69b-934c-43b7-9a17-6659c1e2b9d7
2019-11-06 18:55:10 UTC,view,17200570,2053013559792632471,furniture.living_room.sofa,,463.07,521370707,f7b77fa2-1df8-4ef1-93b0-ffc82b7f2f38
2019-11-15 09:11:04 UTC,view,9300067,2053013554524586339,,lg,127.93,559012753,65cd8566-5d48-49a4-8e01-338897172fa3
2019-11-29 04:08:24 UTC,view,12500835,2053013556277805513,,dewalt,178.37,514967091,df12bd71-80b8-4f12-8877-295b0f1bc5a6
2019-11-16 09:52:17 UTC,view,15100412,2053013557024391671,,imperial,625.5,517918640,a63de9ae-1ebc-4863-b186-058bcc4dfa4d
2019-11-25 19:39:13 UTC,view,21404879,2053013561579406073,electronics.clocks,orient,227.03,541106659,dc492675-c3c8-4f7a-b0e4-b02bf4f232de
2019-11-04 14:47:25 UTC,view,3600604,2053013563810775923,appliances.kitchen.washer,bosch,1402.84,560753204,851226ef-c446-405b-88b9-13d6b5513938
2019-11-17 13:07:57 UTC,view,3600661,2053013563810775923,appliances.kitchen.washer,samsung,308.86,514932772,55f9ed95-bb27-4424-a648-45fedbb67b88
2019-11-19 14:00:46 UTC,view,10200809,2053013553224352013,kids.dolls,,46.28,514326108,5e9cb38a-83f9-45a0-956a-8aff182ac1c6
2019-11-11 16:33:59 UTC,view,28101504,2053013564918072245,,,99.1,570226805,16fcae43-e25a-4451-9dc0-847889492538
2019-11-30 10:12:02 UTC,view,2701333,2053013563911439225,appliances.kitchen.refrigerators,samsung,952.38,546957451,48d642f1-fb04-44bc-9e06-9fb8f9386635
2019-11-19 11:05:22 UTC,view,18300993,2053013558945383017,accessories.bag,apple,30.07,532454612,87c4d86b-4fb2-4e44-b29c-5287e52ad8f7
